Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R,
small_simple,SEIRS,0.1,0.2,0.3,0.6,0.008791114,0.003135941,0.006496939,0.00299074,0.95255471,0.939747097,0.951456215,0.612054911,
small_simple,SEIRS,0.1,0.2,0.3,0.7,0.009650194,0.004036787,0.006610913,0.002109405,0.922797223,0.883948884,0.910477412,0.812339822,
small_simple,SEIRS,0.1,0.2,0.3,0.8,0.005869859,0.002218743,0.004428512,0.002332927,0.963509825,0.953482577,0.951738951,0.662683007,
small_simple,SEIRS,0.1,0.2,0.3,0.9,0.010816108,0.003587355,0.008646201,0.002468714,0.901889362,0.882550479,0.897942679,0.343483773,
small_simple,SEIRS,0.1,0.2,0.3,1,0.016367595,0.005022445,0.013525741,0.002351368,0.876553335,0.852827479,0.867513513,nan,
small_simple,SEIRS,0.1,0.2,0.4,0.1,0.002717884,0.001458681,0.002140874,0.002979461,0.996702577,0.972850449,0.986311425,0.993447149,
small_simple,SEIRS,0.1,0.2,0.4,0.2,0.006505855,0.001432314,0.006506642,0.003131577,0.992758762,0.972622398,0.98469551,0.964637788,
small_simple,SEIRS,0.1,0.2,0.4,0.3,0.003230101,0.001299867,0.002971415,0.002303748,0.991382405,0.976743295,0.974042157,0.950999659,
small_simple,SEIRS,0.1,0.2,0.4,0.4,0.003847113,0.00128773,0.00268195,0.002356673,0.98771837,0.977635194,0.982965812,0.963553059,
small_simple,SEIRS,0.1,0.2,0.4,0.5,0.002728243,0.002333581,0.00257886,0.002808621,0.995307302,0.930697773,0.994122923,0.863509543,
small_simple,SEIRS,0.1,0.2,0.4,0.6,0.004711717,0.002080677,0.004627502,0.002741132,0.978528436,0.940395374,0.972814592,0.74590167,
small_simple,SEIRS,0.1,0.2,0.4,0.7,0.011391568,0.002703395,0.009692687,0.002860343,0.902040008,0.913125684,0.891830792,0.542169556,
small_simple,SEIRS,0.1,0.2,0.4,0.8,0.00992576,0.003135578,0.007372243,0.002329553,0.896464908,0.887923921,0.88120286,0.705922977,
small_simple,SEIRS,0.1,0.2,0.4,0.9,0.00386972,0.001808916,0.003264595,0.002463555,0.983123204,0.961029108,0.976214819,0.455878781,
small_simple,SEIRS,0.1,0.2,0.4,1,0.003489098,0.001775625,0.004156805,0.002442437,0.988953579,0.959504828,0.988967571,nan,
small_simple,SEIRS,0.1,0.2,0.5,0.1,0.004252201,0.002268359,0.003270573,0.002310563,0.991501013,0.914320444,0.968279217,0.991690916,
small_simple,SEIRS,0.1,0.2,0.5,0.2,0.007831364,0.002062762,0.005880321,0.004016592,0.972129509,0.92711785,0.968244086,0.927222486,
small_simple,SEIRS,0.1,0.2,0.5,0.3,0.005899165,0.001631861,0.005591715,0.002460481,0.976419327,0.95433433,0.970280524,0.953220514,
small_simple,SEIRS,0.1,0.2,0.5,0.4,0.005402683,0.001392113,0.003885166,0.003388628,0.974789946,0.971556864,0.964543703,0.888510572,
small_simple,SEIRS,0.1,0.2,0.5,0.5,0.008470889,0.001633021,0.007994041,0.002452741,0.95755551,0.954881832,0.950054504,0.858147162,
small_simple,SEIRS,0.1,0.2,0.5,0.6,0.006237741,0.001577759,0.003504913,0.002467659,0.96968382,0.963535235,0.96567409,0.820980759,
small_simple,SEIRS,0.1,0.2,0.5,0.7,0.003448483,0.001971982,0.004928389,0.002256485,0.987419229,0.939538952,0.981943924,0.841085729,
small_simple,SEIRS,0.1,0.2,0.5,0.8,0.005587538,0.00162754,0.00305364,0.002640025,0.974502407,0.957427711,0.972785417,0.591697755,
small_simple,SEIRS,0.1,0.2,0.5,0.9,0.012787909,0.002638084,0.011883067,0.00254229,0.893524816,0.913859136,0.868026019,0.404871727,
small_simple,SEIRS,0.1,0.2,0.5,1,0.004491086,0.000784183,0.006553423,0.002499885,0.984188928,0.990372029,0.967124163,nan,
small_simple,SEIRS,0.1,0.2,0.6,0.1,0.017367875,0.002333293,0.007380152,0.011096439,0.929942545,0.886028657,0.931813149,0.916933271,
small_simple,SEIRS,0.1,0.2,0.6,0.2,0.005322403,0.000943513,0.004515096,0.00272321,0.988867598,0.982975944,0.977211735,0.97247281,
small_simple,SEIRS,0.1,0.2,0.6,0.3,0.004194634,0.001122893,0.004580161,0.001952091,0.990736799,0.976478587,0.972472755,0.968863712,
small_simple,SEIRS,0.1,0.2,0.6,0.4,0.003727115,0.000950073,0.002656683,0.002546369,0.986677706,0.983217038,0.988586582,0.934835884,
small_simple,SEIRS,0.1,0.2,0.6,0.5,0.01133013,0.00151843,0.010070917,0.002688905,0.918956994,0.954592387,0.903412081,0.834211795,
small_simple,SEIRS,0.1,0.2,0.6,0.6,0.005821456,0.00173297,0.003610662,0.002847804,0.966732752,0.94201836,0.965442314,0.807867606,
small_simple,SEIRS,0.1,0.2,0.6,0.7,0.004174386,0.001549641,0.00416744,0.002364418,0.979651849,0.956062334,0.97316032,0.821342613,
small_simple,SEIRS,0.1,0.2,0.6,0.8,0.003191682,0.001750122,0.002774755,0.002428407,0.990486728,0.945344156,0.989244614,0.774535911,
small_simple,SEIRS,0.1,0.2,0.6,0.9,0.014931198,0.001980348,0.014861514,0.002683789,0.856372322,0.922721177,0.842925179,0.305906228,
small_simple,SEIRS,0.1,0.2,0.6,1,0.002644964,0.00120798,0.003875618,0.002550207,0.991192639,0.973335899,0.985251871,nan,
small_simple,SEIRS,0.1,0.2,0.7,0.1,0.008053834,0.00153194,0.003619283,0.006690736,0.982315166,0.949357188,0.97457514,0.973316934,
small_simple,SEIRS,0.1,0.2,0.7,0.2,0.004349862,0.001929504,0.004343079,0.002697343,0.992846724,0.918464812,0.986920436,0.977189698,
small_simple,SEIRS,0.1,0.2,0.7,0.3,0.002277064,0.001848689,0.003815788,0.002379814,0.995454112,0.927603167,0.987678594,0.954196494,
small_simple,SEIRS,0.1,0.2,0.7,0.4,0.008524878,0.002020236,0.008036209,0.002939917,0.938177916,0.908792185,0.916228947,0.87276421,
small_simple,SEIRS,0.1,0.2,0.7,0.5,0.002505957,0.001574849,0.003880653,0.002889094,0.99332154,0.946264799,0.986877043,0.886008052,
small_simple,SEIRS,0.1,0.2,0.7,0.6,0.004106145,0.00146598,0.006629646,0.002279821,0.991519471,0.956134587,0.985339559,0.872674247,
small_simple,SEIRS,0.1,0.2,0.7,0.7,0.004336812,0.001422191,0.005649915,0.002238951,0.983258054,0.957774556,0.979991469,0.878644688,
small_simple,SEIRS,0.1,0.2,0.7,0.8,0.002955405,0.002019164,0.00360488,0.00255287,0.990405569,0.910572335,0.988560033,0.728213734,
small_simple,SEIRS,0.1,0.2,0.7,0.9,0.009313388,0.001878424,0.008796681,0.002453704,0.897216758,0.921486228,0.880844106,0.556553663,
small_simple,SEIRS,0.1,0.2,0.7,1,0.00535439,0.001701706,0.002932014,0.00258577,0.976033244,0.940746738,0.976651103,nan,
small_simple,SEIRS,0.1,0.2,0.8,0.1,0.003644944,0.002033304,0.004050558,0.004374315,0.994278217,0.897270545,0.974712025,0.980651771,
small_simple,SEIRS,0.1,0.2,0.8,0.2,0.005078708,0.001965988,0.004629577,0.003108482,0.981869003,0.905802836,0.969764917,0.958180853,
small_simple,SEIRS,0.1,0.2,0.8,0.3,0.002375825,0.002320919,0.004763658,0.001950401,0.997025326,0.863641469,0.988236899,0.96959932,
small_simple,SEIRS,0.1,0.2,0.8,0.4,0.005410771,0.001850504,0.003218959,0.002965178,0.976592926,0.918010978,0.972470954,0.874475497,
small_simple,SEIRS,0.1,0.2,0.8,0.5,0.012110311,0.001745799,0.011437843,0.002702785,0.894018897,0.925822681,0.875474342,0.838425236,
small_simple,SEIRS,0.1,0.2,0.8,0.6,0.005113926,0.001818699,0.006006402,0.00232753,0.972963907,0.920045221,0.963981981,0.900035155,
small_simple,SEIRS,0.1,0.2,0.8,0.7,0.009198855,0.001917649,0.010633145,0.002543199,0.938309402,0.910506195,0.92984953,0.771587114,
small_simple,SEIRS,0.1,0.2,0.8,0.8,0.0040328,0.00161446,0.004741619,0.002769718,0.979665607,0.939928671,0.975164291,0.538553069,
small_simple,SEIRS,0.1,0.2,0.8,0.9,0.005235141,0.001111433,0.002369649,0.002638135,0.979572124,0.971708905,0.985750973,0.592290299,
