Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R,,,,
small_simple,SIRS,0.2,0.3,0,0.9,0.006664448,7.695116778,0.003146847,0.003981326,0.959284143,nan,0.980176482,0.513848058,,,,
small_simple,SIRS,0.2,0.3,0,1,0.006690757,7.695116778,0.003361678,0.003755692,0.956986402,nan,0.977830828,nan,,,,
small_simple,SIRS,0.2,0.4,0,0.1,0.007339782,7.695116778,0.003982208,0.005543332,0.98612443,nan,0.950515603,0.975238428,,,,
small_simple,SIRS,0.2,0.4,0,0.2,0.00455685,7.695116778,0.00185109,0.003613857,0.982393285,nan,0.987649447,0.974077296,,,,
small_simple,SIRS,0.2,0.4,0,0.3,0.006330134,7.695116778,0.002730751,0.003998748,0.962812553,nan,0.977595481,0.939330698,,,,
small_simple,SIRS,0.2,0.4,0,0.4,0.007495388,7.695116778,0.003115496,0.004464106,0.931007672,nan,0.968407081,0.89826512,,,,
small_simple,SIRS,0.2,0.4,0,0.5,0.007385276,7.695116778,0.00351102,0.004213704,0.941031961,nan,0.968157904,0.897463195,,,,
small_simple,SIRS,0.2,0.4,0,0.6,0.005857385,7.695116778,0.002512617,0.003894963,0.952200389,nan,0.977592478,0.894152783,,,,
small_simple,SIRS,0.2,0.4,0,0.7,0.00778396,7.695116778,0.003478876,0.004390357,0.911200783,nan,0.965468986,0.841404666,,,,
small_simple,SIRS,0.2,0.4,0,0.8,0.005955932,7.695116778,0.002493763,0.003545759,0.955382824,nan,0.986151753,0.817142925,,,,
small_simple,SIRS,0.2,0.4,0,0.9,0.006588747,7.695116778,0.003031825,0.003644961,0.933465075,nan,0.974870443,0.870475385,,,,
small_simple,SIRS,0.2,0.4,0,1,0.007336722,7.695116778,0.003778341,0.003675139,0.900311387,nan,0.956220429,nan,,,,
small_simple,SIRS,0.2,0.5,0,0.1,0.00715249,7.695116778,0.002080511,0.00636954,0.979681909,nan,0.984867358,0.970537521,,,,
small_simple,SIRS,0.2,0.5,0,0.2,0.005337475,7.695116778,0.002564316,0.004113047,0.977500391,nan,0.976864675,0.956649119,,,,
small_simple,SIRS,0.2,0.5,0,0.3,0.004369327,7.695116778,0.001882084,0.002694571,0.98541829,nan,0.987397388,0.985410621,,,,
small_simple,SIRS,0.2,0.5,0,0.4,0.005631567,7.695116778,0.002785648,0.003270598,0.952154793,nan,0.969196708,0.924093118,,,,
small_simple,SIRS,0.2,0.5,0,0.5,0.008125422,7.695116778,0.004276183,0.004717295,0.870705197,nan,0.923967098,0.702790739,,,,
small_simple,SIRS,0.2,0.5,0,0.6,0.006238336,7.695116778,0.002982405,0.003507401,0.93914431,nan,0.968498504,0.909130202,,,,
small_simple,SIRS,0.2,0.5,0,0.7,0.006787263,7.695116778,0.00263832,0.004170646,0.90845147,nan,0.972836203,0.892366512,,,,
small_simple,SIRS,0.2,0.5,0,0.8,0.006973295,7.695116778,0.003107207,0.003974586,0.893849377,nan,0.962938557,0.70089268,,,,
small_simple,SIRS,0.2,0.5,0,0.9,0.006897859,7.695116778,0.003794951,0.003142504,0.88298191,nan,0.939299195,0.815107302,,,,
small_simple,SIRS,0.2,0.5,0,1,0.006733296,7.695116778,0.003064904,0.003706668,0.89579665,nan,0.966794816,nan,,,,
small_simple,SIRS,0.2,0.6,0,0.1,0.004885401,7.695116778,0.003298768,0.004078164,0.993764288,nan,0.94798611,0.982748253,,,,
small_simple,SIRS,0.2,0.6,0,0.2,0.006872568,7.695116778,0.00203459,0.005685463,0.952445504,nan,0.980537637,0.932901094,,,,
