Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R,
large_complex,SIRS,0.2,0.6,0,0.4,0.003858514,0.855012975,0.001821179,0.002310328,0.906899865,nan,0.93613194,0.907554457,
large_complex,SIRS,0.2,0.6,0,0.5,0.00369238,0.855012975,0.001778494,0.002182235,0.898391092,nan,0.940374119,0.846166432,
large_complex,SIRS,0.2,0.6,0,0.6,0.003625507,0.855012975,0.001908485,0.001914103,0.886988508,nan,0.928289745,0.841776125,
large_complex,SIRS,0.2,0.6,0,0.7,0.003784393,0.855012975,0.001748944,0.002097756,0.858968238,nan,0.940902975,0.778430377,
large_complex,SIRS,0.2,0.6,0,0.8,0.003579291,0.855012975,0.001615218,0.001973785,0.865534038,nan,0.950298471,0.80878025,
large_complex,SIRS,0.2,0.6,0,0.9,0.003806303,0.855012975,0.001877516,0.001931881,0.828990433,nan,0.930441357,0.783458548,
large_complex,SIRS,0.2,0.6,0,1,0.003829103,0.855012975,0.001874048,0.001957362,0.815489237,nan,0.931081929,nan,
large_complex,SIRS,0.2,0.7,0,0.1,0.003311474,0.855012975,0.001755892,0.002758084,0.988991346,nan,0.930655369,0.978070802,
large_complex,SIRS,0.2,0.7,0,0.2,0.003278057,0.855012975,0.001647781,0.002309605,0.971782636,nan,0.940187852,0.968107895,
large_complex,SIRS,0.2,0.7,0,0.3,0.003336705,0.855012975,0.001665097,0.002258463,0.94168672,nan,0.937585706,0.919832724,
large_complex,SIRS,0.2,0.7,0,0.4,0.00336012,0.855012975,0.001741649,0.001987064,0.926765843,nan,0.930790398,0.927642705,
large_complex,SIRS,0.2,0.7,0,0.5,0.00353842,0.855012975,0.001685888,0.00206444,0.894648733,nan,0.934876943,0.8980071,
large_complex,SIRS,0.2,0.7,0,0.6,0.00346284,0.855012975,0.001685395,0.001961685,0.883120639,nan,0.935200764,0.865865017,
large_complex,SIRS,0.2,0.7,0,0.7,0.003546373,0.855012975,0.001615586,0.002009531,0.857235679,nan,0.941049625,0.82166788,
large_complex,SIRS,0.2,0.7,0,0.8,0.003491614,0.855012975,0.001553404,0.001994101,0.849275234,nan,0.946650976,0.72446711,
large_complex,SIRS,0.2,0.7,0,0.9,0.003784254,0.855012975,0.001860308,0.001953502,0.799820153,nan,0.920099128,0.806849601,
large_complex,SIRS,0.2,0.7,0,1,0.003601854,0.855012975,0.001629839,0.001974249,0.812349368,nan,0.940628257,nan,
large_complex,SIRS,0.2,0.8,0,0.1,0.003037945,0.855012975,0.001630242,0.002570679,0.990385595,nan,0.932278171,0.980691314,
